"","GABA2_p_val","GABA2_avg_log2FC","GABA2_pct.1","GABA2_pct.2","GABA2_p_val_adj"
"Y43C5A.7",0,4.10402295465702,0.88,0.005,0
"F09E10.7",0,5.69516226682688,0.98,0.014,0
"hlh-13",0,5.60999514804939,1,0.007,0
"tbh-1",0,4.99016164635859,0.94,0.002,0
"T20F5.8",0,5.50799445511334,0.98,0.001,0
"txt-10",0,3.77787795455839,0.76,0.001,0
"tdc-1",0,3.34383150931365,0.64,0.001,0
"C09G1.5",7.44369677371533e-293,6.01363145335998,1,0.019,3.49288027409818e-288
"K01C8.2",9.92796869359657e-286,3.07543706495619,0.6,0.002,4.65860002978326e-281
"frpr-6",9.33728236458992e-263,4.92132025588835,0.92,0.018,4.38142637676017e-258
"M03D4.3",5.2399319258744e-258,5.99791562210611,0.98,0.023,2.45878565689731e-253
"Y76B12C.8",2.24347079985617e-237,4.69329675348021,0.92,0.022,1.05272623812451e-232
"sul-2",4.2420728774398e-182,3.43982578210706,0.62,0.011,1.99055027700985e-177
"best-23",3.53571667201157e-178,2.71865637895503,0.54,0.007,1.65909969117471e-173
"F22F4.4",7.56516270338521e-172,2.66489147880898,0.56,0.009,3.54987694693647e-167
"fbxb-88",3.29193386513795e-171,2.2324890254697,0.36,0.001,1.54470704687733e-166
"mrrf-1",7.40795436522077e-171,2.141769198889,0.4,0.002,3.47610850633619e-166
"hrg-5",8.24735612953695e-161,2.55829117935861,0.34,0.001,3.86998939022392e-156
"B0034.4",2.32304236805327e-156,1.74390860665901,0.28,0,1.09006440078532e-151
"D1044.6",8.8209207825446e-149,2.85887066446073,0.44,0.006,4.13912886800123e-144
"dig-1",8.42818907381166e-140,2.3998227247399,0.48,0.008,3.95484344099538e-135
"lips-5",3.34837687084475e-139,2.52736740447327,0.3,0.001,1.57119236287519e-134
"nlp-46",5.38546221957172e-135,1.92146528209221,0.32,0.002,2.52707429191183e-130
"Y60C6A.3",3.84840347517569e-123,1.6769410553743,0.22,0,1.80582484669144e-118
"Y50D4B.1",1.303769569849e-119,2.33238749878361,0.44,0.009,6.11780832955943e-115
