"","GABA1_p_val","GABA1_avg_log2FC","GABA1_pct.1","GABA1_pct.2","GABA1_p_val_adj","GABA2_p_val","GABA2_avg_log2FC","GABA2_pct.1","GABA2_pct.2","GABA2_p_val_adj","max_pval","minimump_p_val"
"col-167",4.30021209573207e-54,3.8641414562111,0.4,0.001,2.01783152380132e-49,3.32885629776249e-184,5.16875919097909,0.519,0.009,1.56203252916207e-179,4.30021209573207e-54,6.65771259552511e-184
"nlp-27",8.55224077919075e-76,4.68747657922732,0.6,0.003,4.01305346322747e-71,5.95966773547682e-168,4.03152044529414,0.481,0.008,2.79651448819514e-163,8.55224077919075e-76,1.19193354709536e-167
"cnc-8",1.64273795949269e-67,2.38803768045671,0.4,0,7.70838360112351e-63,1.23344082398824e-162,3.46640571073858,0.403,0.004,5.78779772248244e-158,1.64273795949269e-67,2.46688164797656e-162
"col-154",1.56965896187941e-34,2.60277317084045,0.2,0,7.36546771272295e-30,2.40664362532436e-153,3.51397997463505,0.377,0.004,1.1292934547472e-148,1.56965896187941e-34,4.81328725064879e-153
"col-10",2.19158723763282e-38,3.03209704499876,0.3,0.001,1.02838039538683e-33,5.73476002569009e-149,5.80405105421593,0.532,0.016,2.69097879445482e-144,2.19158723763282e-38,1.146952005138e-148
"lips-10",4.30021209573207e-54,4.63098460612188,0.4,0.001,2.01783152380132e-49,3.65040949693533e-140,3.39977152042385,0.299,0.002,1.71291815234193e-135,4.30021209573207e-54,7.30081899387054e-140
"col-166",1.44678100211535e-09,0.459413087027184,0.1,0.001,6.78887517432605e-05,1.38170719142115e-137,4.52490697953233,0.455,0.011,6.48352282502459e-133,1.44678100211535e-09,2.76341438284236e-137
"col-92",2.81179377860244e-47,5.05315072027871,0.6,0.009,1.31940611267141e-42,4.8049760141939e-137,3.84129307367671,0.312,0.002,2.25468694490034e-132,2.81179377860244e-47,9.60995202838762e-137
"lpr-6",4.95136640082603e-18,0.921173551395776,0.1,0,2.32337916992361e-13,5.99432002064628e-135,3.19150326474258,0.325,0.003,2.81277472648806e-130,4.95136640082603e-18,1.19886400412929e-134
"F23D12.11",1.36934978119478e-16,4.3442865424243,0.4,0.017,6.42553691327838e-12,8.30910188385095e-135,4.06796800227639,0.571,0.023,3.89896296797822e-130,1.36934978119478e-16,1.66182037677022e-134
"ctg-1",1.11696500935589e-06,1.12791186658945,0.1,0.003,0.0524124660990158,1.50219156039908e-134,2.7372050359574,0.377,0.006,7.04888367801666e-130,1.11696500935589e-06,3.00438312079818e-134
"col-144",2.28533363512445e-23,3.62808319665764,0.2,0.001,1.0723699549458e-18,9.31007881524139e-134,5.27162313761521,0.532,0.019,4.36866138326387e-129,2.28533363512445e-23,1.86201576304829e-133
"col-3",2.82076530255719e-60,4.14550048676927,0.5,0.003,1.32361591057194e-55,6.62229545821217e-133,6.23274917934721,0.558,0.022,3.10744592081148e-128,2.82076530255719e-60,1.32445909164241e-132
"nlp-33",8.17740029180507e-29,6.01752082830794,0.5,0.013,3.83716331292661e-24,9.90167765237792e-133,5.52623078243085,0.532,0.02,4.64626322160181e-128,8.17740029180507e-29,1.98033553047557e-132
"F08F3.4",4.95136640082603e-18,0.466194829446972,0.1,0,2.32337916992361e-13,9.54186409814843e-131,2.63764880331066,0.325,0.004,4.47742430941517e-126,4.95136640082603e-18,1.90837281962967e-130
"F57H12.6",4.95136640082603e-18,1.24709286196477,0.1,0,2.32337916992361e-13,3.41873139768919e-129,4.2212519380549,0.377,0.007,1.60420552105168e-124,4.95136640082603e-18,6.83746279537825e-129
"osm-11",2.96394428408387e-47,4.75379408349316,0.5,0.005,1.39080121586352e-42,4.66312541584468e-127,3.49771615845761,0.39,0.008,2.18812497013096e-122,2.96394428408387e-47,9.32625083168961e-127
"col-147",3.85497629849321e-45,3.73454265703298,0.4,0.003,1.80890907830495e-40,5.11514034591519e-123,3.88489853395128,0.351,0.006,2.40022845591725e-118,3.85497629849321e-45,1.02302806918303e-122
"col-117",2.61331934309807e-23,2.9087741313824,0.2,0.001,1.22627396855534e-18,6.59755971969388e-123,6.07897057047868,0.519,0.021,3.09583892286916e-118,2.61331934309807e-23,1.31951194393874e-122
"F16B4.4",6.1148476697027e-39,4.48510947604862,0.4,0.004,2.86933112053129e-34,4.79287772629798e-121,3.71423142055049,0.403,0.01,2.24900994428806e-116,6.1148476697027e-39,9.58575545259593e-121
"col-155",2.61331934309807e-23,2.13233600092851,0.2,0.001,1.22627396855534e-18,5.52957737118987e-120,3.62408982169996,0.338,0.006,2.59469888565713e-115,2.61331934309807e-23,1.10591547423795e-119
"nlp-29",2.25442847443674e-45,3.95168075344687,0.4,0.003,1.05786801734469e-40,6.56578499192563e-120,3.79775187872838,0.325,0.005,3.08092894961118e-115,2.25442847443674e-45,1.31315699838513e-119
"col-125",1.88492194616093e-38,4.15505228612303,0.3,0.001,8.84480774016553e-34,9.65942564383866e-115,5.40240138383444,0.442,0.015,4.53258888911485e-110,1.88492194616093e-38,1.93188512876772e-114
"fipr-21",5.93288262822351e-53,4.47459207069772,0.5,0.004,2.7839458444676e-48,4.47722214433503e-114,3.04701791283859,0.351,0.007,2.10089171900777e-109,5.93288262822351e-53,8.95444428867023e-114
"C34E7.4",5.89137199965636e-31,2.55867545920537,0.3,0.003,2.76446739711875e-26,1.16564088076568e-113,2.84785169455675,0.338,0.006,5.46965326890489e-109,5.89137199965636e-31,2.33128176153137e-113
